CODIGO;FANTASIA;ENDERECO;NUMERO;BAIRRO;LOCALIDADE
15;CAMPOS NOVOS;RUA PRESIDENTE TANCREDO NEVES;830;NOSSA SENHORA DE LURDES;CAMPOS NOVOS
100;APUCARANA;AVENIDA MINAS GERAIS;4515;ADRIANO CORREIA;APUCARANA
148;ARAPONGAS;RUA ROUXINOL;5802;PARQUE INDUSTRIAL IV;ARAPONGAS
130;ARAUCARIA;AV. DAS ARAUCÁRIAS;4601;THOMAZ COELHO;ARAUCARIA
104;BARRACAO;ROD. SC 163;1600;TRES FRONTEIRAS;BARRACAO
84;CAMPO MOURAO;VIA MARGINAL GELINDO D STEFANUTO;577;JARDIM BANDEIRANTE;CAMPO MOURAO
105;CD CASCAVEL;AVENIDA DAS AGROINDUSTRIAS;1500;LOT DOMICIANO BRESOLIN;CASCAVEL
51;CASCAVEL AGENCIA;RUA PERU;192;JARDIM DAS NACOES;CASCAVEL
138;CASTRO;RUA JOSÉ ANTÔNIO DE OLIVEIRA;60;JARDIM DAS ARAUCÁRIAS;CASTRO
31;CIANORTE;AVENIDA INDUSTRIAL;697;ZONA 07;CIANORTE
137;COLOMBO;RODOVIA DA UVA;693;ROCA GRANDE;COLOMBO
118;CURITIBA;RUA ANGELA GABARDO PAROLIN;169;CAMPO DE SANTANA;CURITIBA
143;DOIS VIZINHOS;RUA TEREZINHA ARALDI;116;ARALDI II;DOIS VIZINHOS
57;FOZ DO IGUACU;RUA JOAO DE BARRO;21;PORTAL DA FOZ;FOZ DO IGUACU
53;FRANCISCO BELTRAO;RUA MINAS GERAIS;2387;SAO CRISTOVAO;FRANCISCO BELTRAO
75;GUARAPUAVA;RUA GENERAL OSORIO;1465;VILA CARLI;GUARAPUAVA
134;IRATI;RODOVIA PR 153 KM 336;S/N;ENGENHEIRO GUTIERREZ;IRATI
140;LARANJEIRAS DO SUL;AV. SANTOS DUMONT;3999;SAO FRANCISCO;LARANJEIRAS DO SUL
108;LONDRINA;R JOSE CARLOS MUFATTO;1924;JARDIM RIVIERA;LONDRINA
136;MARECHAL CANDIDO RONDON;AV PROLONGAMENTO DA AVENIDA RIO GRANDE DO SUL;SN;LINHA QUINTA DAS SELECOES;MARECHAL CANDIDO RONDON
112;MARIALVA;RODOVIA BR 376 KM 199 S/N;280;GLEBA RIBEIRAO ALEGRE;MARIALVA
93;MARINGA;RUA PIONEIRO FRANCISCO BIM SOBRINHO;141;PARQUE INDUSTRIAL;MARINGA
56;MEDIANEIRA;RUA SERGIPE;2795;SAO CRISTOVAO;MEDIANEIRA
126;PARANAVAI;AV PRESIDENTE TANCREDO NEVES;2815;VILA SAO VICENTE;PARANAVAI
54;PATO BRANCO;RUA PANTALEAO TELLES;15;TREVO PATINHO;PATO BRANCO
129;PIEN;AVENIDA SÃO BENTO;2035;COLONIAL;PIEN
133;PINHAIS;RUA GRACA ARANHA;1100;VARGEM GRANDE;PINHAIS
101;PONTA GROSSA;AV. SENADOR FLÁVIO C. GUIMARÃES;1332;BOA VISTA;PONTA GROSSA
52;REALEZA;RUA INGLATERRA;4444;INDUSTRIAL;REALEZA
99;RIO NEGRO;RUA BENEMERITO HENRIQUE MAX;872;VILA NOVA;RIO NEGRO
